loan_status,loan_amnt,term,int_rate,installment,emp_length,is_mortgage,is_rent,is_own,is_any,is_other,annual_inc,verification_status,is_verified,is_not_verified,is_source_verified,issue_d,dti,fico_range_low,fico_range_high,open_acc,pub_rec,revol_bal,revol_util,mort_acc,pub_rec_bankruptcies,age,pay_status,id_x,name_x,id_y,name_y,id_x,name_x,id_y,name_y
0,10550.0,60,17.86,267.1,10.0,0,1,0,0,0,0,Verified,1,0,0,2015-01-10 00:00:00,39.65,690.0,694,14,0,18027,78.4,0.0,0.0,22,1,2,RENT,,,,,20,D5
1,12000.0,36,15.99,421.83,,0,1,0,0,0,0,Verified,1,0,0,2016-01-10 00:00:00,22.45,695.0,699,9,0,16210,51.5,0.0,0.0,27,0,2,RENT,,,,,15,C5
1,10300.0,36,24.5,406.81,10.0,1,0,0,0,0,0,Source Verified,0,0,1,2014-01-08 00:00:00,7.74,715.0,719,9,0,68,0.9,1.0,0.0,52,1,1,MORTGAGE,,,,,28,F3
1,24000.0,60,12.69,542.28,10.0,0,1,0,0,0,0,Verified,1,0,0,2015-01-07 00:00:00,16.88,715.0,719,10,0,14227,46.2,0.0,0.0,52,2,2,RENT,,,,,12,C2
1,25000.0,60,15.59,602.52,10.0,1,0,0,0,0,0,Verified,1,0,0,2014-01-12 00:00:00,31.52,715.0,719,15,0,18997,71.1,4.0,0.0,32,1,1,MORTGAGE,,,,,16,D1
0,25000.0,36,13.59,849.48,2.0,0,0,1,0,0,0,Not Verified,0,1,0,2017-01-08 00:00:00,18.94,675.0,679,14,0,36773,65.7,7.0,0.0,38,0,3,OWN,,,,,12,C2
0,18000.0,60,21.49,491.94,10.0,1,0,0,0,0,0,Source Verified,0,0,1,2016-01-11 00:00:00,29.04,700.0,704,6,0,13556,87.5,2.0,0.0,38,-1,1,MORTGAGE,,,,,20,D5
0,8000.0,36,9.75,257.2,5.0,1,0,0,0,0,0,Not Verified,0,1,0,2016-01-03 00:00:00,22.72,705.0,709,15,0,11616,28.5,2.0,0.0,25,2,1,MORTGAGE,,,,,8,B3
0,12000.0,36,15.31,417.81,10.0,1,0,0,0,0,0,Source Verified,0,0,1,2016-01-06 00:00:00,24.92,760.0,764,8,0,531,4.4,3.0,0.0,39,-2,1,MORTGAGE,,,,,15,C5
0,40000.0,60,13.59,922.25,10.0,0,1,0,0,0,0,Source Verified,0,0,1,2017-01-11 00:00:00,12.02,,699,27,0,33799,29.5,0.0,0.0,22,0,2,RENT,,,,,12,C2
0,10000.0,36,12.69,335.45,0.0,1,0,0,0,0,0,Not Verified,0,1,0,2015-01-04 00:00:00,10.99,665.0,669,13,1,6500,52.0,3.0,1.0,22,0,1,MORTGAGE,,,,,12,C2
0,15075.0,60,16.29,368.93,10.0,1,0,0,0,0,0,Not Verified,0,1,0,2014-01-07 00:00:00,14.66,675.0,679,10,0,10990,66.6,2.0,0.0,26,1,1,MORTGAGE,,,,,17,D2
1,9175.0,36,10.74,299.25,10.0,1,0,0,0,0,0,Not Verified,0,1,0,2012-01-04 00:00:00,18.31,720.0,724,6,0,30019,92.1,3.0,0.0,33,0,1,MORTGAGE,,,,,7,B2
1,20000.0,36,8.39,630.34,6.0,1,0,0,0,0,0,Not Verified,0,1,0,2016-01-03 00:00:00,17.95,,699,18,0,8073,37.2,2.0,0.0,50,0,1,MORTGAGE,,,,,6,B1
0,12000.0,60,16.24,293.35,10.0,0,1,0,0,0,0,Verified,1,0,0,2014-01-02 00:00:00,15.99,700.0,704,3,0,5085,87.7,0.0,0.0,25,0,2,RENT,,,,,15,C5
0,2125.0,36,23.99,83.36,10.0,0,1,0,0,0,0,Source Verified,0,0,1,2015-01-03 00:00:00,3.92,690.0,694,4,0,201,5.3,0.0,0.0,26,-1,2,RENT,,,,,27,F2
0,25000.0,36,13.67,850.44,10.0,0,0,1,0,0,0,Source Verified,0,0,1,2015-01-12 00:00:00,30.51,700.0,704,28,0,49694,81.1,0.0,0.0,32,2,3,OWN,,,,,14,C4
1,28000.0,36,8.67,886.1,10.0,1,0,0,0,0,0,Source Verified,0,0,1,2014-01-12 00:00:00,27.95,705.0,709,9,0,68343,80.4,1.0,0.0,35,0,1,MORTGAGE,,,,,6,B1
0,4175.0,36,23.13,161.9,7.0,1,0,0,0,0,0,Not Verified,0,1,0,2016-01-03 00:00:00,24.87,670.0,674,15,1,4840,56.0,0.0,1.0,53,-2,1,MORTGAGE,,,,,26,F1
0,25450.0,60,23.4,723.31,10.0,1,0,0,0,0,0,Verified,1,0,0,2013-01-11 00:00:00,34.13,720.0,724,5,0,26724,89.7,0.0,0.0,57,-2,1,MORTGAGE,,,,,25,E5
0,16000.0,36,7.62,498.59,1.0,0,1,0,0,0,0,Not Verified,0,1,0,2014-01-02 00:00:00,12.56,700.0,704,6,0,19242,71.1,0.0,0.0,29,-1,2,RENT,,,,,3,A3
0,6300.0,36,6.62,193.44,7.0,0,1,0,0,0,0,Source Verified,0,0,1,2014-01-05 00:00:00,13.85,720.0,724,26,0,8452,29.8,1.0,0.0,39,0,2,RENT,,,,,2,A2
0,16725.0,36,10.49,543.53,1.0,1,0,0,0,0,0,Source Verified,0,0,1,2016-01-11 00:00:00,24.84,745.0,749,17,0,30680,38.3,4.0,0.0,21,0,1,MORTGAGE,,,,,7,B2
0,26350.0,36,11.44,868.17,10.0,1,0,0,0,0,0,Source Verified,0,0,1,2017-01-02 00:00:00,26.68,715.0,719,10,0,5563,24.1,0.0,0.0,24,1,1,MORTGAGE,,,,,9,B4
0,4800.0,36,7.49,149.29,0.0,1,0,0,0,0,0,Verified,1,0,0,2015-01-02 00:00:00,24.62,705.0,709,15,0,170537,87.2,4.0,0.0,30,-1,1,MORTGAGE,,,,,4,A4
0,10000.0,60,13.59,230.57,6.0,1,0,0,0,0,0,Not Verified,0,1,0,2017-01-11 00:00:00,4.66,690.0,694,7,0,10768,35.5,2.0,0.0,32,0,1,MORTGAGE,,,,,12,C2
1,10300.0,60,16.02,250.59,10.0,0,1,0,0,0,0,Source Verified,0,0,1,2017-01-09 00:00:00,34.2,685.0,689,17,1,21750,52.0,0.0,1.0,28,0,2,RENT,,,,,15,C5
0,2800.0,60,11.11,61.04,1.0,1,0,0,0,0,0,Source Verified,0,0,1,2011-01-02 00:00:00,12.54,720.0,724,7,0,4504,28.1,0.0,0.0,21,0,1,MORTGAGE,,,,,10,B5
0,12000.0,36,15.8,420.71,7.0,1,0,0,0,0,0,Source Verified,0,0,1,2012-01-12 00:00:00,16.74,685.0,689,8,0,2944,26.8,1.0,0.0,36,0,1,MORTGAGE,,,,,13,C3
0,20400.0,60,10.99,443.45,10.0,0,0,1,0,0,0,Source Verified,0,0,1,2013-01-11 00:00:00,19.44,745.0,749,13,1,17052,26.7,2.0,1.0,29,0,3,OWN,,,,,7,B2
0,4725.0,36,18.99,173.18,5.0,0,0,1,0,0,0,Source Verified,0,0,1,2017-01-02 00:00:00,22.61,665.0,669,5,1,16,0.5,0.0,1.0,28,-2,3,OWN,,,,,18,D3
1,35000.0,36,13.58,1189.09,5.0,1,0,0,0,0,0,Source Verified,0,0,1,2018-01-03 00:00:00,8.74,695.0,699,11,0,8296,50.0,1.0,0.0,25,0,1,MORTGAGE,,,,,12,C2
1,8000.0,36,10.99,261.88,9.0,0,1,0,0,0,0,Not Verified,0,1,0,2014-01-10 00:00:00,15.5,665.0,669,7,0,18968,90.3,1.0,0.0,49,1,2,RENT,,,,,8,B3
0,11125.0,36,12.59,372.66,10.0,0,0,1,0,0,0,Source Verified,0,0,1,2015-01-11 00:00:00,23.73,720.0,724,3,0,9626,46.5,0.0,0.0,31,-1,3,OWN,,,,,12,C2
0,6075.0,36,8.9,192.91,3.0,0,0,1,0,0,0,Verified,1,0,0,2013-01-11 00:00:00,10.93,775.0,779,5,0,2003,40.9,2.0,0.0,23,0,3,OWN,,,,,5,A5
0,10800.0,60,24.99,316.94,10.0,0,1,0,0,0,0,Source Verified,0,0,1,2014-01-07 00:00:00,29.27,660.0,664,10,0,24133,89.4,0.0,0.0,41,1,2,RENT,,,,,29,F4
0,-15000.0,36,11.99,498.15,10.0,1,0,0,0,0,0,Verified,1,0,0,2014-01-12 00:00:00,9.8,,694,7,2,17506,48.1,0.0,1.0,42,0,1,MORTGAGE,,,,,10,B5
0,9000.0,36,11.49,296.75,10.0,0,1,0,0,0,0,Not Verified,0,1,0,2017-01-03 00:00:00,18.96,720.0,724,7,1,7343,54.8,0.0,1.0,48,-2,2,RENT,,,,,10,B5
0,3200.0,36,12.62,107.24,,0,1,0,0,0,0,Verified,1,0,0,2017-01-07 00:00:00,7.65,695.0,699,5,0,0,0.0,0.0,0.0,24,1,2,RENT,,,,,11,C1
0,10000.0,36,5.32,301.15,5.0,0,1,0,0,0,0,Not Verified,0,1,0,2016-01-04 00:00:00,27.59,710.0,714,15,0,14592,48.6,0.0,0.0,28,2,2,RENT,,,,,1,A1
0,13800.0,36,12.88,464.18,,0,0,1,0,0,0,Not Verified,0,1,0,2016-01-01 00:00:00,12.36,705.0,709,11,0,12892,39.3,0.0,0.0,44,-2,3,OWN,,,,,12,C2
0,8000.0,36,10.99,261.88,2.0,0,1,0,0,0,0,Verified,1,0,0,2016-01-08 00:00:00,21.39,690.0,694,10,0,2836,23.6,0.0,0.0,33,0,2,RENT,,,,,9,B4
1,14000.0,60,26.24,421.16,10.0,1,0,0,0,0,0,Verified,1,0,0,2017-01-03 00:00:00,34.05,,669,8,1,10430,64.0,0.0,1.0,37,0,1,MORTGAGE,,,,,25,E5
0,12000.0,36,9.99,387.15,10.0,0,1,0,0,0,0,Source Verified,0,0,1,2015-01-05 00:00:00,24.64,690.0,694,6,0,18060,89.9,0.0,0.0,33,-1,2,RENT,,,,,8,B3
0,-8000.0,36,13.53,271.6,10.0,1,0,0,0,0,0,Source Verified,0,0,1,2014-01-01 00:00:00,25.03,680.0,684,10,0,5988,67.3,5.0,0.0,28,0,1,MORTGAGE,,,,,10,B5
0,5000.0,36,7.39,155.28,10.0,1,0,0,0,0,0,Source Verified,0,0,1,2016-01-03 00:00:00,1.88,720.0,724,6,0,8938,49.1,3.0,0.0,27,0,1,MORTGAGE,,,,,4,A4
0,12000.0,60,15.61,289.34,10.0,0,0,1,0,0,0,Verified,1,0,0,2014-01-05 00:00:00,9.67,,669,21,0,15399,38.9,1.0,0.0,38,0,3,OWN,,,,,16,D1
0,10200.0,36,13.18,344.57,10.0,0,0,1,0,0,0,Verified,1,0,0,2015-01-11 00:00:00,37.68,685.0,689,17,0,16311,71.2,1.0,0.0,28,2,3,OWN,,,,,13,C3
0,18000.0,60,21.98,496.94,4.0,0,1,0,0,0,0,Verified,1,0,0,2013-01-04 00:00:00,7.6,685.0,689,7,0,5920,80.0,0.0,0.0,45,0,2,RENT,,,,,24,E4
1,20000.0,36,20.2,745.32,5.0,1,0,0,0,0,0,Verified,1,0,0,2014-01-08 00:00:00,23.37,675.0,679,6,0,18812,73.2,2.0,0.0,54,0,1,MORTGAGE,,,,,23,E3
0,24000.0,36,10.99,785.62,8.0,1,0,0,0,0,0,Source Verified,0,0,1,2013-01-12 00:00:00,3.7,720.0,724,6,0,11366,39.2,3.0,0.0,56,-2,1,MORTGAGE,,,,,7,B2
0,4525.0,36,6.49,138.67,3.0,0,1,0,0,0,0,Not Verified,0,1,0,2014-01-09 00:00:00,8.82,675.0,679,10,1,4464,17.0,1.0,1.0,55,2,2,RENT,,,,,2,A2
0,-5500.0,36,9.17,175.34,1.0,1,0,0,0,0,0,Not Verified,0,1,0,2015-01-10 00:00:00,34.6,695.0,699,13,0,8178,40.1,2.0,0.0,29,2,1,MORTGAGE,,,,,7,B2
0,14000.0,36,13.58,475.64,10.0,0,1,0,0,0,0,Source Verified,0,0,1,2018-01-03 00:00:00,25.6,685.0,689,10,0,18805,76.8,1.0,0.0,28,1,2,RENT,,,,,12,C2
0,4300.0,36,7.39,133.54,10.0,1,0,0,0,0,0,Verified,1,0,0,2016-01-06 00:00:00,33.04,690.0,694,9,0,12131,74.9,4.0,0.0,21,2,1,MORTGAGE,,,,,4,A4
0,1500.0,36,15.05,52.04,,0,1,0,0,0,0,Source Verified,0,0,1,2017-01-08 00:00:00,19.03,,709,1,0,0,52.2,0.0,0.0,30,-1,2,RENT,,,,,14,C4
1,24000.0,36,13.59,815.5,10.0,0,0,1,0,0,0,Verified,1,0,0,2017-01-09 00:00:00,1.06,700.0,704,7,0,1992,26.2,0.0,0.0,32,2,3,OWN,,,,,12,C2
0,9000.0,36,12.35,300.44,7.0,0,1,0,0,0,0,Source Verified,0,0,1,2013-01-07 00:00:00,17.48,685.0,689,6,0,11100,70.7,0.0,0.0,31,-1,2,RENT,,,,,9,B4
1,7350.0,36,6.62,225.68,5.0,1,0,0,0,0,0,Source Verified,0,0,1,2012-01-05 00:00:00,22.47,735.0,739,11,0,10547,39.7,5.0,0.0,40,1,1,MORTGAGE,,,,,2,A2
0,35000.0,36,7.49,1088.56,2.0,1,0,0,0,0,0,Verified,1,0,0,2017-01-01 00:00:00,12.79,700.0,704,15,0,60079,49.2,1.0,0.0,31,-1,1,MORTGAGE,,,,,4,A4
0,9600.0,36,14.98,332.7,10.0,1,0,0,0,0,0,Source Verified,0,0,1,2013-01-12 00:00:00,13.16,665.0,669,7,0,11594,84.6,1.0,0.0,23,0,1,MORTGAGE,,,,,13,C3
1,20000.0,36,16.29,706.01,10.0,1,0,0,0,0,0,Not Verified,0,1,0,2012-01-09 00:00:00,28.68,675.0,679,12,0,29296,81.8,3.0,0.0,28,-1,1,MORTGAGE,,,,,14,C4
0,10500.0,36,7.9,328.55,2.0,1,0,0,0,0,0,Not Verified,0,1,0,2014-01-02 00:00:00,16.46,710.0,714,10,0,11326,77.0,2.0,0.0,44,-1,1,MORTGAGE,,,,,4,A4
1,12000.0,36,9.76,385.86,1.0,0,1,0,0,0,0,Verified,1,0,0,2015-01-12 00:00:00,29.42,660.0,664,7,0,10769,90.7,0.0,0.0,25,0,2,RENT,,,,,8,B3
0,22800.0,60,17.57,573.66,5.0,0,1,0,0,0,0,Source Verified,0,0,1,2014-01-05 00:00:00,16.49,665.0,669,6,0,2889,34.8,0.0,0.0,43,1,2,RENT,,,,,19,D4
1,4000.0,36,10.99,130.94,10.0,0,1,0,0,0,0,Verified,1,0,0,2015-01-11 00:00:00,23.01,745.0,749,6,0,5840,42.9,0.0,0.0,36,0,2,RENT,,,,,9,B4
0,-27575.0,36,12.99,928.98,0.0,0,1,0,0,0,0,Verified,1,0,0,2014-01-10 00:00:00,37.48,700.0,704,12,0,30721,91.4,0.0,0.0,25,0,2,RENT,,,,,11,C1
0,13000.0,36,6.49,398.38,10.0,1,0,0,0,0,0,Source Verified,0,0,1,2015-01-01 00:00:00,13.09,695.0,699,12,1,2020,9.4,7.0,1.0,29,0,1,MORTGAGE,,,,,2,A2
1,-11500.0,36,10.49,373.73,10.0,0,1,0,0,0,0,Source Verified,0,0,1,2016-01-11 00:00:00,4.3,705.0,709,12,0,3305,6.6,0.0,0.0,47,1,2,RENT,,,,,7,B2
0,8000.0,36,14.85,276.74,3.0,0,1,0,0,0,0,Not Verified,0,1,0,2016-01-01 00:00:00,23.1,695.0,699,11,0,6941,46.0,0.0,0.0,48,0,2,RENT,,,,,15,C5
0,6725.0,36,15.8,235.77,7.0,1,0,0,0,0,0,Source Verified,0,0,1,2013-01-01 00:00:00,1.2,735.0,739,10,1,1275,5.4,2.0,1.0,32,0,1,MORTGAGE,,,,,13,C3
0,8500.0,36,6.89,262.03,10.0,0,0,1,0,0,0,Source Verified,0,0,1,2015-01-08 00:00:00,15.49,810.0,814,24,0,17490,11.3,5.0,0.0,44,-1,3,OWN,,,,,3,A3
0,10000.0,36,5.32,301.15,0.0,1,0,0,0,0,0,Not Verified,0,1,0,2017-01-09 00:00:00,18.31,775.0,779,12,0,5808,8.1,4.0,0.0,31,0,1,MORTGAGE,,,,,1,A1
0,15000.0,60,9.17,312.62,0.0,1,0,0,0,0,0,Source Verified,0,0,1,2016-01-01 00:00:00,25.73,710.0,714,25,0,22779,35.4,1.0,0.0,34,0,1,MORTGAGE,,,,,7,B2
0,20000.0,36,7.39,621.12,10.0,1,0,0,0,0,0,Not Verified,0,1,0,2016-01-02 00:00:00,15.47,740.0,744,12,1,5429,17.3,1.0,1.0,43,2,1,MORTGAGE,,,,,4,A4
1,10725.0,36,18.24,389.03,2.0,0,1,0,0,0,0,Source Verified,0,0,1,2014-01-10 00:00:00,35.04,,699,12,0,7671,39.3,0.0,0.0,56,3,2,RENT,,,,,20,D5
0,-6500.0,36,6.49,199.19,10.0,1,0,0,0,0,0,Not Verified,0,1,0,2014-01-08 00:00:00,19.74,,729,7,1,2803,41.2,5.0,1.0,38,-1,1,MORTGAGE,,,,,2,A2
0,20400.0,36,7.89,638.23,9.0,1,0,0,0,0,0,Not Verified,0,1,0,2016-01-02 00:00:00,24.94,780.0,784,13,0,7626,18.1,1.0,0.0,26,-2,1,MORTGAGE,,,,,5,A5
0,6000.0,36,6.03,182.62,8.0,1,0,0,0,0,0,Not Verified,0,1,0,2014-01-10 00:00:00,24.75,685.0,689,16,0,17530,42.1,3.0,0.0,36,-1,1,MORTGAGE,,,,,1,A1
0,3000.0,36,30.17,127.64,4.0,0,1,0,0,0,0,Not Verified,0,1,0,2017-01-08 00:00:00,7.93,685.0,689,9,0,1110,33.6,0.0,0.0,34,0,2,RENT,,,,,28,F3
0,8000.0,36,9.99,258.1,,0,0,1,0,0,0,Source Verified,0,0,1,2015-01-07 00:00:00,16.89,665.0,669,15,0,14783,66.6,0.0,0.0,42,-1,3,OWN,,,,,8,B3
0,15000.0,36,12.12,499.08,5.0,1,0,0,0,0,0,Not Verified,0,1,0,2013-01-01 00:00:00,22.03,705.0,709,11,0,20681,48.7,0.0,0.0,26,0,1,MORTGAGE,,,,,8,B3
0,6000.0,36,9.44,192.03,10.0,0,1,0,0,0,0,Not Verified,0,1,0,2017-01-12 00:00:00,9.43,690.0,694,22,0,2155,15.7,4.0,0.0,21,0,2,RENT,,,,,6,B1
1,6000.0,36,9.17,191.28,0.0,0,1,0,0,0,0,Verified,1,0,0,2015-01-12 00:00:00,25.4,725.0,729,13,0,16,0.1,0.0,0.0,41,0,2,RENT,,,,,7,B2
1,12375.0,36,20.2,461.17,,0,1,0,0,0,0,Verified,1,0,0,2014-01-06 00:00:00,24.06,680.0,684,6,0,2731,48.8,1.0,0.0,35,-2,2,RENT,,,,,23,E3
1,35000.0,60,21.49,956.55,10.0,1,0,0,0,0,0,Verified,1,0,0,2016-01-08 00:00:00,7.65,670.0,674,12,0,41125,82.9,2.0,0.0,33,-2,1,MORTGAGE,,,,,20,D5
0,32350.0,36,13.67,1100.47,5.0,0,0,1,0,0,0,Verified,1,0,0,2013-01-10 00:00:00,20.88,705.0,709,7,0,16085,75.2,0.0,0.0,62,0,3,OWN,,,,,10,B5
0,20000.0,60,14.49,470.47,0.0,0,1,0,0,0,0,Source Verified,0,0,1,2016-01-07 00:00:00,14.12,680.0,684,16,0,14594,36.4,0.0,0.0,21,0,2,RENT,,,,,14,C4
1,4000.0,36,17.09,142.8,3.0,0,1,0,0,0,0,Source Verified,0,0,1,2017-01-12 00:00:00,9.52,665.0,669,15,0,1617,85.1,0.0,0.0,29,2,2,RENT,,,,,16,D1
0,20000.0,36,16.02,703.34,2.0,0,1,0,0,0,0,Source Verified,0,0,1,2017-01-07 00:00:00,15.29,700.0,704,11,0,15844,43.1,1.0,0.0,35,-1,2,RENT,,,,,15,C5
0,21000.0,36,7.89,657.0,2.0,0,0,1,0,0,0,Source Verified,0,0,1,2015-01-04 00:00:00,16.38,750.0,754,19,1,1238,5.1,0.0,0.0,51,-1,3,OWN,,,,,5,A5
0,-8200.0,36,7.35,254.51,3.0,0,0,1,0,0,0,Verified,1,0,0,2017-01-09 00:00:00,13.16,710.0,714,13,0,9160,58.3,1.0,0.0,37,0,3,OWN,,,,,4,A4
1,7000.0,36,12.74,234.99,1.0,1,0,0,0,0,0,Source Verified,0,0,1,2017-01-01 00:00:00,7.96,665.0,669,9,0,12297,72.3,9.0,0.0,38,1,1,MORTGAGE,,,,,11,C1
0,18400.0,36,9.99,593.63,3.0,0,1,0,0,0,0,Source Verified,0,0,1,2013-01-09 00:00:00,29.47,710.0,714,10,0,38577,77.2,2.0,0.0,30,0,2,RENT,,,,,6,B1
0,28200.0,60,21.99,778.7,10.0,1,0,0,0,0,0,Verified,1,0,0,2014-01-11 00:00:00,18.56,660.0,664,21,0,21926,62.6,0.0,0.0,46,0,1,MORTGAGE,,,,,25,E5
0,6000.0,36,10.49,194.99,10.0,1,0,0,0,0,0,Not Verified,0,1,0,2015-01-02 00:00:00,24.79,,734,8,0,32599,91.8,5.0,0.0,23,0,1,MORTGAGE,,,,,8,B3
1,12000.0,36,13.35,406.36,7.0,1,0,0,0,0,0,Source Verified,0,0,1,2014-01-05 00:00:00,13.74,680.0,684,8,0,3229,52.1,1.0,0.0,44,1,1,MORTGAGE,,,,,12,C2
0,11000.0,36,7.9,344.2,4.0,0,1,0,0,0,0,Not Verified,0,1,0,2013-01-09 00:00:00,18.21,,734,12,0,15438,27.1,0.0,0.0,23,-1,2,RENT,,,,,4,A4
0,14000.0,36,14.64,482.86,7.0,1,0,0,0,0,0,Not Verified,0,1,0,2014-01-04 00:00:00,19.95,700.0,704,11,0,37549,84.4,2.0,0.0,27,-1,1,MORTGAGE,,,,,13,C3
0,24250.0,60,19.52,636.02,10.0,0,1,0,0,0,0,Verified,1,0,0,2013-01-08 00:00:00,24.04,660.0,664,12,0,19373,76.0,4.0,0.0,25,2,2,RENT,,,,,19,D4
0,8950.0,36,16.29,315.94,3.0,1,0,0,0,0,0,Not Verified,0,1,0,2014-01-07 00:00:00,14.02,670.0,674,27,1,8024,61.7,2.0,1.0,33,-1,1,MORTGAGE,,,,,17,D2
0,12000.0,36,11.53,395.89,1.0,1,0,0,0,0,0,Source Verified,0,0,1,2015-01-09 00:00:00,20.78,675.0,679,7,0,28466,96.2,4.0,0.0,37,0,1,MORTGAGE,,,,,10,B5
0,3000.0,36,9.93,96.71,10.0,0,1,0,0,0,0,Source Verified,0,0,1,2017-01-07 00:00:00,15.41,705.0,709,10,0,28045,61.5,0.0,0.0,36,2,2,RENT,,,,,7,B2
1,22000.0,36,19.48,811.79,0.0,1,0,0,0,0,0,Source Verified,0,0,1,2016-01-01 00:00:00,26.21,665.0,669,12,5,9295,66.9,0.0,1.0,43,1,1,MORTGAGE,,,,,22,E2
0,14125.0,36,7.9,441.98,3.0,1,0,0,0,0,0,Verified,1,0,0,2013-01-06 00:00:00,9.17,730.0,734,7,0,20327,74.2,5.0,0.0,47,1,1,MORTGAGE,,,,,4,A4
0,12000.0,36,14.09,410.66,6.0,0,1,0,0,0,0,Not Verified,0,1,0,2012-01-08 00:00:00,8.14,675.0,679,6,0,14613,42.1,0.0,0.0,34,2,2,RENT,,,,,10,B5
0,16000.0,60,11.49,351.81,7.0,1,0,0,0,0,0,Verified,1,0,0,2017-01-05 00:00:00,9.61,675.0,679,8,0,29163,77.0,1.0,0.0,26,0,1,MORTGAGE,,,,,10,B5
0,13000.0,36,16.55,460.58,10.0,0,1,0,0,0,0,Verified,1,0,0,2015-01-03 00:00:00,22.47,660.0,664,9,1,15330,65.0,5.0,1.0,22,1,2,RENT,,,,,17,D2
1,20000.0,36,10.99,654.68,0.0,0,1,0,0,0,0,Source Verified,0,0,1,2016-01-07 00:00:00,28.32,690.0,694,14,0,30926,70.0,1.0,0.0,55,1,2,RENT,,,,,9,B4
0,1850.0,36,15.61,64.69,10.0,0,1,0,0,0,0,Not Verified,0,1,0,2015-01-10 00:00:00,6.0,690.0,694,4,0,1357,50.0,0.0,0.0,35,0,2,RENT,,,,,16,D1
1,15450.0,36,8.6,488.44,3.0,1,0,0,0,0,0,Verified,1,0,0,2013-01-10 00:00:00,24.04,690.0,694,8,0,16680,83.8,3.0,0.0,54,1,1,MORTGAGE,,,,,4,A4
0,19000.0,36,10.99,621.95,2.0,1,0,0,0,0,0,Not Verified,0,1,0,2014-01-09 00:00:00,27.84,710.0,714,12,0,18778,53.3,0.0,0.0,54,3,1,MORTGAGE,,,,,8,B3
0,6000.0,36,19.99,222.96,3.0,1,0,0,0,0,0,Verified,1,0,0,2016-01-10 00:00:00,17.01,665.0,669,15,0,3859,72.8,1.0,0.0,22,1,1,MORTGAGE,,,,,19,D4
